origen,destino,rssi_medido_dbm,llega,beta_grados,hora_utc,distancia_m,mesas,clase,et_origen,et_destino,esclavo_origen,esclavo_destino,lat_origen,lon_origen,lat_destino,lon_destino,margen_previsto_planas_db,margen_previsto_canto_db
TCU_SUNNER_ID_010,TCU_SUNNER_ID_015,,,,,70.0,6,diagonal,TK010,TK015,10,15,41.515613,15.26769,41.51608,15.268253,39.9,22.8
TCU_SUNNER_ID_001,TCU_SUNNER_ID_011,,,,,72.7,1,eje,TK001,TK011,1,11,41.5158,15.267367,41.515145,15.267415,48.1,40.0
TCU_SUNNER_ID_001,TCU_SUNNER_ID_008,,,,,73.0,0,eje,TK001,TK008,1,8,41.5158,15.267367,41.515146,15.267271,48.2,48.2
TCU_SUNNER_ID_001,TCU_SUNNER_ID_017,,,,,77.9,6,diagonal,TK001,TK017,1,17,41.5158,15.267367,41.515145,15.267703,36.7,21.3
TCU_SUNNER_ID_006,TCU_SUNNER_ID_017,,,,,90.8,0,eje,TK006,TK017,6,17,41.515962,15.267751,41.515145,15.267703,44.7,44.7
TCU_SUNNER_ID_003,TCU_SUNNER_ID_014,,,,,90.8,0,eje,TK003,TK014,3,14,41.515963,15.267607,41.515145,15.267559,44.7,44.7
TCU_SUNNER_ID_003,TCU_SUNNER_ID_017,,,,,91.1,1,diagonal,TK003,TK017,3,17,41.515963,15.267607,41.515145,15.267703,44.6,35.9
TCU_SUNNER_ID_009,TCU_SUNNER_ID_017,,,,,92.1,2,diagonal,TK009,TK017,9,17,41.515962,15.267895,41.515145,15.267703,41.6,29.0
TCU_SUNNER_ID_009,TCU_SUNNER_ID_014,,,,,94.9,5,diagonal,TK009,TK014,9,14,41.515962,15.267895,41.515145,15.267559,31.5,21.3
TCU_SUNNER_ID_006,TCU_SUNNER_ID_008,,,,,99.1,8,diagonal,TK006,TK008,6,8,41.515962,15.267751,41.515146,15.267271,25.7,20.4
NCU 1,TCU_SUNNER_ID_007,,,,,103.3,6,diagonal,NCU 1,TK007,,7,,,41.515613,15.267546,35.0,-5.8
TCU_SUNNER_ID_012,TCU_SUNNER_ID_017,,,,,109.3,4,diagonal,TK012,TK017,12,17,41.51608,15.268109,41.515145,15.267703,32.2,19.7
NCU 1,TCU_SUNNER_ID_001,,,,,113.2,3,diagonal,NCU 1,TK001,,1,,,41.5158,15.267367,40.9,14.8
TCU_SUNNER_ID_002,TCU_SUNNER_ID_012,,,,,118.8,14,diagonal,TK002,TK012,2,12,41.515332,15.267092,41.51608,15.268109,18.2,15.7
NCU 1,TCU_SUNNER_ID_013,,,,,119.4,12,diagonal,NCU 1,TK013,,13,,,41.515613,15.267834,27.0,-10.3
NCU 1,TCU_SUNNER_ID_012,,,,,173.1,15,diagonal,NCU 1,TK012,,12,,,41.51608,15.268109,20.2,-6.8
NCU 1,TCU_SUNNER_ID_015,,,,,181.0,16,diagonal,NCU 1,TK015,,15,,,41.51608,15.268253,20.3,-11.9
