origen,destino,rssi_medido_dbm,llega,beta_grados,hora_utc,distancia_m,mesas,clase,et_origen,et_destino,esclavo_origen,esclavo_destino,lat_origen,lon_origen,lat_destino,lon_destino,margen_previsto_planas_db,margen_previsto_canto_db
TCU_SUNNER_ID_069,TCU_SUNNER_ID_022,,,,,180.0,14,filas,69,22,69,22,41.575547,-0.797016,41.575589,-0.799174,11.2,10.0
TCU_SUNNER_ID_012,TCU_SUNNER_ID_046,,,,,180.1,13,diagonal,12,46,12,46,41.575602,-0.799893,41.576149,-0.79786,11.3,10.2
TCU_SUNNER_ID_059,TCU_SUNNER_ID_056,,,,,187.4,0,eje,59,56,59,56,41.574454,-0.797485,41.57614,-0.797428,32.5,32.5
TCU_SUNNER_ID_013,TCU_SUNNER_ID_056,,,,,192.0,15,filas,13,56,13,56,41.576185,-0.799729,41.57614,-0.797428,9.6,8.9
TCU_SUNNER_ID_059,TCU_SUNNER_ID_020,,,,,198.3,12,diagonal,59,20,59,20,41.574454,-0.797485,41.575591,-0.799318,9.6,8.9
TCU_SUNNER_ID_102,TCU_SUNNER_ID_105,,,,,203.4,0,eje,102,105,102,105,41.575525,-0.795866,41.573694,-0.795928,31.1,31.1
TCU_SUNNER_ID_093,TCU_SUNNER_ID_096,,,,,203.4,0,eje,93,96,93,96,41.576116,-0.796133,41.574285,-0.796196,31.1,31.1
TCU_SUNNER_ID_080,TCU_SUNNER_ID_083,,,,,203.4,0,eje,80,83,80,83,41.576124,-0.796565,41.574293,-0.796627,31.1,31.1
TCU_SUNNER_ID_009,TCU_SUNNER_ID_042,,,,,212.4,13,diagonal,9,42,9,42,41.576193,-0.800161,41.574984,-0.798187,7.9,7.8
TCU_SUNNER_ID_003,TCU_SUNNER_ID_034,,,,,216.0,17,filas,3,34,3,34,41.576209,-0.801024,41.57616,-0.798435,6.9,6.9
TCU_SUNNER_ID_022,TCU_SUNNER_ID_085,,,,,228.0,18,filas,22,85,22,85,41.575589,-0.799174,41.575536,-0.796441,5.7,6.0
TCU_SUNNER_ID_009,TCU_SUNNER_ID_048,,,,,231.9,15,diagonal,9,48,9,48,41.576193,-0.800161,41.574979,-0.797899,5.7,6.2
TCU_SUNNER_ID_012,TCU_SUNNER_ID_074,,,,,260.2,20,diagonal,12,74,12,74,41.575602,-0.799893,41.57496,-0.796892,2.8,3.8
TCU_SUNNER_ID_012,TCU_SUNNER_ID_077,,,,,264.0,21,filas,12,77,12,77,41.575602,-0.799893,41.575542,-0.796729,2.4,3.5
TCU_SUNNER_ID_015,TCU_SUNNER_ID_085,,,,,271.9,21,diagonal,15,85,15,85,41.576182,-0.799586,41.575536,-0.796441,1.8,3.0
TCU_SUNNER_ID_093,TCU_SUNNER_ID_017,,,,,276.0,22,filas,93,17,93,17,41.576116,-0.796133,41.576179,-0.799442,1.5,2.7
TCU_SUNNER_ID_084,TCU_SUNNER_ID_011,,,,,288.0,23,filas,84,11,84,11,41.576121,-0.796421,41.576187,-0.799873,0.5,2.0
TCU_SUNNER_ID_106,TCU_SUNNER_ID_040,,,,,288.1,16,diagonal,106,40,106,40,41.574276,-0.795764,41.576154,-0.798147,1.2,2.8
TCU_SUNNER_ID_007,TCU_SUNNER_ID_072,,,,,300.0,24,filas,7,72,7,72,41.576198,-0.800449,41.576129,-0.796853,-0.3,1.3
TCU_SUNNER_ID_102,TCU_SUNNER_ID_017,,,,,307.0,24,diagonal,102,17,102,17,41.575525,-0.795866,41.576179,-0.799442,-0.8,1.0
TCU_SUNNER_ID_080,TCU_SUNNER_ID_007,,,,,324.0,26,filas,80,7,80,7,41.576124,-0.796565,41.576198,-0.800449,-1.9,-0.0
TCU_SUNNER_ID_102,TCU_SUNNER_ID_013,,,,,330.5,26,diagonal,102,13,102,13,41.575525,-0.795866,41.576185,-0.799729,-2.3,-0.3
TCU_SUNNER_ID_003,TCU_SUNNER_ID_076,,,,,360.0,29,filas,3,76,3,76,41.576209,-0.801024,41.576127,-0.796709,-4.2,-1.8
TCU_SUNNER_ID_107,TCU_SUNNER_ID_031,,,,,360.1,19,diagonal,107,31,107,31,41.573691,-0.795784,41.576163,-0.798579,-3.6,-0.9
TCU_SUNNER_ID_001,TCU_SUNNER_ID_068,,,,,360.4,29,filas,1,68,1,68,41.576359,-0.801307,41.576132,-0.796997,-4.2,-1.9
TCU_SUNNER_ID_084,TCU_SUNNER_ID_004,,,,,372.0,30,filas,84,4,84,4,41.576121,-0.796421,41.576207,-0.80088,-4.8,-2.4
TCU_SUNNER_ID_013,TCU_SUNNER_ID_100,,,,,372.5,25,diagonal,13,100,13,100,41.576185,-0.799729,41.574282,-0.796052,-4.6,-2.0
TCU_SUNNER_ID_088,TCU_SUNNER_ID_004,,,,,384.0,31,filas,88,4,88,4,41.576118,-0.796277,41.576207,-0.80088,-5.5,-3.0
TCU_SUNNER_ID_002,TCU_SUNNER_ID_081,,,,,392.5,31,diagonal,2,81,2,81,41.576356,-0.801163,41.575539,-0.796585,-5.9,-3.3
TCU_SUNNER_ID_001,TCU_SUNNER_ID_080,,,,,396.3,32,filas,1,80,1,80,41.576359,-0.801307,41.576124,-0.796565,-6.1,-3.5
TCU_SUNNER_ID_098,TCU_SUNNER_ID_004,,,,,413.1,33,diagonal,98,4,98,4,41.575528,-0.79601,41.576207,-0.80088,-7.0,-4.2
TCU_SUNNER_ID_001,TCU_SUNNER_ID_079,,,,,442.3,31,diagonal,1,79,1,79,41.576359,-0.801307,41.574296,-0.796771,-8.2,-5.0
