# GOLDEN del núcleo — generado por tools/gen_golden_core.py
# pvlib 0.15.2 · tracker schema 2.1.0
# albedo 0.25 (por defecto de pvlib: el core NO lo expone) · Linke 3.5 · altitud 300.0 m
# Perez allsitescomposite1990 · 7 escenarios · 1104 filas
# Las columnas zenit..dhi son ENTRADAS: el espejo debe consumirlas, no regenerarlas.
# *_theta/*_flag = el core TAL CUAL. *_fix_theta/*_fix_flag = el core con el azimut
# del eje propagado a la transposicion: las 4 politicas NO lo pasan (solo run_tracker),
# asi que con eje girado deciden con otra orientacion. Bug del core, no del espejo.
escenario,paso,dt_min,minuto_local,gcr,theta_max,axis_azimuth,doy,zenit,azimut,ghi,dni,dhi,theta_n,poa_n,diffuse_flat_theta,diffuse_flat_flag,diffuse_limited_theta,diffuse_limited_flag,diffuse_continuous_theta,diffuse_continuous_flag,diffuse_poa_switch_theta,diffuse_poa_switch_flag,diffuse_flat_fix_theta,diffuse_flat_fix_flag,diffuse_limited_fix_theta,diffuse_limited_fix_flag,diffuse_continuous_fix_theta,diffuse_continuous_fix_flag,diffuse_poa_switch_fix_theta,diffuse_poa_switch_fix_flag
ebro_verano,23,10,230,0.397,55.0,0.0,172,110.58165388829761,25.707386369848393,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
ebro_verano,24,10,240,0.397,55.0,0.0,172,109.73726221743645,27.97879514430622,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
ebro_verano,25,10,250,0.397,55.0,0.0,172,108.82799415670549,30.209335856748567,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
ebro_verano,26,10,260,0.397,55.0,0.0,172,107.8564080598986,32.39791833014067,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
ebro_verano,27,10,270,0.397,55.0,0.0,172,106.82510034612204,34.54385188590322,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
ebro_verano,28,10,280,0.397,55.0,0.0,172,105.7366825430081,36.64681814379645,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
ebro_verano,29,10,290,0.397,55.0,0.0,172,104.59376031640454,38.706842099199775,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
ebro_verano,30,10,300,0.397,55.0,0.0,172,103.39891554998746,40.72426067177821,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
ebro_verano,31,10,310,0.397,55.0,0.0,172,102.1546910861656,42.699690835056686,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
ebro_verano,32,10,320,0.397,55.0,0.0,172,100.86357810445072,44.63399820199379,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
ebro_verano,33,10,330,0.397,55.0,0.0,172,99.52800598966982,46.52826688658047,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
ebro_verano,34,10,340,0.397,55.0,0.0,172,98.1503345006316,48.383771267934435,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
ebro_verano,35,10,350,0.397,55.0,0.0,172,96.73284812076257,50.201949988146794,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
ebro_verano,36,10,360,0.397,55.0,0.0,172,95.27775179087223,51.984383209219686,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
ebro_verano,37,10,370,0.397,55.0,0.0,172,93.78716922660001,53.73277148805482,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
ebro_verano,38,10,380,0.397,55.0,0.0,172,92.26314170630609,55.44891877865166,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
ebro_verano,39,10,390,0.397,55.0,0.0,172,90.13408520723952,57.13471773682761,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
ebro_verano,40,10,400,0.397,55.0,0.0,172,88.76233236218677,58.792138015712226,0.8072527642721813,5.753598939225226,0.6829767795725874,2.199889093132043,0.9228769663873599,2.199889093132043,0,2.199889093132043,0,2.199889093132043,0,2.199889093132043,0,2.199889093132043,0,2.199889093132043,0,2.199889093132043,0,2.199889093132043,0
ebro_verano,41,10,410,0.397,55.0,0.0,172,87.26647838365486,60.42321735247623,5.7673512621946585,34.36423617362855,4.128491433691094,4.794222134419826,8.79610771687889,4.794222134419826,0,4.794222134419826,0,4.794222134419826,0,4.794222134419826,0,4.794222134419826,0,4.794222134419826,0,4.794222134419826,0,4.794222134419826,0
ebro_verano,42,10,420,0.397,55.0,0.0,172,85.69253582548382,62.030055355082595,17.255566846998725,91.25852037085284,10.401264049673665,7.4847469748481075,32.9640433309742,7.4847469748481075,0,7.4847469748481075,0,7.4847469748481075,0,7.4847469748481075,0,7.4847469748481075,0,7.4847469748481075,0,7.4847469748481075,0,7.4847469748481075,0
ebro_verano,43,10,430,0.397,55.0,0.0,172,84.068814445127,63.61480989850355,34.82909602890295,163.53787968591325,17.9300843906142,10.253267812790952,71.62475173731076,10.253267812790952,0,10.253267812790952,0,10.253267812790952,0,10.253267812790952,0,10.253267812790952,0,10.253267812790952,0,10.253267812790952,0,10.253267812790952,0
ebro_verano,44,10,440,0.397,55.0,0.0,172,82.408808391957,65.17969594722246,57.07668621824727,238.64461497830683,25.55077710954052,13.111998253675736,120.67202899280774,13.111998253675736,0,13.111998253675736,0,13.111998253675736,0,13.111998253675736,0,13.111998253675736,0,13.111998253675736,0,13.111998253675736,0,13.111998253675736,0
ebro_verano,45,10,450,0.397,55.0,0.0,172,80.71970137960055,66.72698737479072,82.71488350457078,309.84237572890845,32.74831472830548,16.08975887864578,179.13905642441804,16.08975887864578,0,16.08975887864578,0,16.08975887864578,0,16.08975887864578,0,16.08975887864578,0,16.08975887864578,0,16.08975887864578,0,16.08975887864578,0
ebro_verano,46,10,460,0.397,55.0,0.0,172,79.00589799115087,68.25902018424108,110.790374015066,374.50783796546995,39.36875336828736,19.229092905121476,244.921502063045,19.229092905121476,0,19.229092905121476,0,19.229092905121476,0,19.229092905121476,0,19.229092905121476,0,19.229092905121476,0,19.229092905121476,0,19.229092905121476,0
ebro_verano,47,10,470,0.397,55.0,0.0,172,77.27046034874068,69.77819924139408,140.62486093832223,432.0992165716217,45.412176319132584,22.58963262354709,316.3640432277364,22.58963262354709,0,22.58963262354709,0,22.58963262354709,0,22.58963262354709,0,22.58963262354709,0,22.58963262354709,0,22.58963262354709,0,22.58963262354709,0
ebro_verano,48,10,480,0.397,55.0,0.0,172,75.51574089585911,71.28700700223357,171.73180674010104,482.97406247982383,50.93322485062055,26.257716262215155,392.2171433434316,26.257716262215155,0,26.257716262215155,0,26.257716262215155,0,26.257716262215155,0,26.257716262215155,0,26.257716262215155,0,26.257716262215155,0,26.257716262215155,0
ebro_verano,49,10,490,0.397,55.0,0.0,172,73.74368602611182,72.78801498505464,203.75257338902315,527.8132706190387,55.999266040696966,30.367514593284284,471.5649550765793,30.367514593284284,0,30.367514593284284,0,30.367514593284284,0,30.367514593284284,0,30.367514593284284,0,30.367514593284284,0,30.367514593284284,0,30.367514593284284,0
ebro_verano,50,10,500,0.397,55.0,0.0,172,71.95599418537728,74.28389805325531,236.41358774914812,567.3629653144238,60.67440784704095,35.15157854700197,553.7796655745985,35.15157854700197,0,35.15157854700197,0,35.15157854700197,0,35.15157854700197,0,35.15157854700197,0,35.15157854700197,0,35.15157854700197,0,35.15157854700197,0
ebro_verano,51,10,510,0.397,55.0,0.0,172,70.15420484122276,75.7774517631633,269.49858751780994,602.3279756436909,65.01436204896928,41.09137671034259,638.552354343036,41.09137671034259,0,41.09137671034259,0,41.09137671034259,0,41.09137671034259,0,41.09137671034259,0,41.09137671034259,0,41.09137671034259,0,41.09137671034259,0
ebro_verano,52,10,520,0.397,55.0,0.0,172,68.33975258337901,77.27161310980404,302.830675240452,633.3344834408085,69.06563576032846,49.62495448770103,726.2470463474884,49.62495448770103,0,49.62495448770103,0,49.62495448770103,0,49.62495448770103,0,49.62495448770103,0,49.62495448770103,0,49.62495448770103,0,49.62495448770103,0
ebro_verano,53,10,530,0.397,55.0,0.0,172,66.51400292059654,78.76948500413755,336.26059190143104,660.9229869223576,72.86630465456602,55.0,785.3013171001352,55.0,0,55.0,0,55.0,0,55.0,0,55.0,0,55.0,0,55.0,0,55.0,0
ebro_verano,54,10,540,0.397,55.0,0.0,172,64.67827743654153,80.27436563526385,369.65895215630405,685.5536615554079,76.44724134553792,55.0,814.7802452445403,55.0,0,55.0,1,55.0,0,55.0,0,55.0,0,55.0,1,55.0,0,55.0,0
