fila;punto;X;Y;Z_entregada;Z_esperada;desvio_m;alcance;llega_al_modelo
TR-08_1-001-W;10937;200569.750;8164195.124;1588.989;1551.959;+37.03;fila entera;si
TR-08_2-001-W;11016;200347.008;8164231.144;1583.897;1548.247;+35.65;media fila (una mesa);si
TR-08_2-002-E;11036;200365.634;8164193.687;1584.199;1547.299;+36.90;media fila (una mesa);si
TR-08_2-002-W;11032;200359.418;8164231.128;1584.659;1548.449;+36.21;media fila (una mesa);si
TR-08_2-019-W;11000;200322.281;8164192.816;1583.045;1546.445;+36.60;media fila (una mesa);si
TR-08_2-032-E;10695;200291.053;8164033.369;1579.162;1542.522;+36.64;fila entera;si
TR-08_2-032-E;10696;200291.028;8164070.045;1580.324;1543.524;+36.80;fila entera;si
TR-08_2-032-E;10697;200291.012;8164071.083;1580.352;1543.532;+36.82;fila entera;si
TR-08_2-032-E;10698;200291.102;8164107.821;1581.166;1544.576;+36.59;fila entera;si
TR-08_2-039-E;10795;200371.617;8164107.644;1581.775;1545.195;+36.58;media fila (una mesa);si
TR-08_2-071-W;18114;200260.028;8163845.224;1578.069;1541.769;+36.30;fila entera;si
TR-08_2-071-W;18270;200259.975;8163919.640;1579.594;1543.144;+36.45;fila entera;si
TR-08_2-071-W;18271;200260.064;8163881.914;1579.325;1543.145;+36.18;fila entera;si
TR-08_2-071-W;18286;200260.051;8163882.882;1579.325;1543.145;+36.18;fila entera;si
TR-08_2-102-W;11240;200309.629;8163844.522;1579.803;1542.913;+36.89;media fila (una mesa);si
TR-09_1-028-W;8871;199974.891;8164070.833;1572.015;1535.055;+36.96;media fila (una mesa);si
TR-09_1-032-W;9103;200024.478;8164107.659;1573.342;1536.762;+36.58;fila entera;si
TR-09_1-032-W;9104;200024.536;8164070.705;1573.298;1536.728;+36.57;fila entera;si
TR-09_1-032-W;9105;200024.548;8164070.066;1573.306;1536.726;+36.58;fila entera;si
TR-09_1-032-W;9106;200024.557;8164033.341;1573.243;1536.683;+36.56;fila entera;si
TR-09_1-043-W;8405;199826.181;8164032.492;1568.427;1531.637;+36.79;media fila (una mesa);si
TR-09_1-044-W;8437;199838.579;8164032.548;1568.685;1532.115;+36.57;media fila (una mesa);si
TR-09_1-044-W;8438;199838.563;8163995.806;1568.732;1532.002;+36.73;media fila (una mesa);si
TR-09_1-047-W;8533;199875.756;8164032.518;1569.474;1532.844;+36.63;media fila (una mesa);si
TR-09_1-059-W;9107;200024.546;8164032.534;1573.342;1536.682;+36.66;media fila (una mesa);si
TR-09_1-071-W;8441;199838.594;8163957.407;1568.648;1531.838;+36.81;media fila (una mesa);si
TR-09_1-079-E;8797;199943.955;8163883.111;1570.850;1534.300;+36.55;fila entera;si
TR-09_1-079-E;8798;199943.954;8163919.867;1570.379;1533.839;+36.54;fila entera;si
TR-09_1-079-E;8799;199943.955;8163920.839;1570.383;1533.843;+36.54;fila entera;si
TR-09_1-079-E;8800;199943.954;8163957.569;1570.458;1533.858;+36.60;fila entera;si
TR-09_2-057-E;8389;199782.802;8164033.363;1567.442;1530.562;+36.88;media fila (una mesa);si
TR-09_2-058-E;8397;199795.258;8164033.323;1567.633;1531.223;+36.41;media fila (una mesa);si
TR-10_2-077-W;2918;199045.285;8163995.784;1549.324;1513.164;+36.16;media fila (una mesa);si
TR-10_2-086-W;3071;199156.918;8164032.189;1550.808;1515.448;+35.36;media fila (una mesa);si
TR-10_2-123-W;3139;199206.458;8163845.431;1552.781;1516.561;+36.22;media fila (una mesa);si
