tracker;zona;id;tipo;pend_long_pct;este_pend_transv_pct;este_pend_vector_pct;este_azimut_deg;este_vecina_critica;este_es_hermana;este_n_candidatas;oeste_pend_transv_pct;oeste_pend_vector_pct;oeste_azimut_deg;oeste_vecina_critica;oeste_es_hermana;oeste_n_candidatas
26;SJ;TR-01_1-026;2TTx64;-1,785;2,520;3,088;305,300;TR-01_1-027-W;NO;1;-1,298;2,207;324,000;TR-01_1-025-E;NO;1
27;SJ;TR-01_1-027;2TTx64;-1,659;4,432;4,732;290,500;TR-01_1-028-W;NO;1;-1,626;2,323;315,600;TR-01_1-026-E;NO;1
28;SJ;TR-01_1-028;2TTx64;-0,915;3,770;3,879;283,600;;NO;0;-4,556;4,647;281,400;TR-01_1-027-E;NO;1
29;SJ;TR-01_1-029;2TTx64;-0,655;2,671;2,750;283,800;TR-01_1-030-W;NO;1;-2,823;2,898;283,100;;NO;0
30;SJ;TR-01_1-030;2TTx64;-0,961;1,014;1,397;313,500;TR-01_1-031-W;NO;1;-3,966;4,081;283,600;TR-01_1-029-E;NO;1
31;SJ;TR-01_1-031;2TTx64;-1,005;2,700;2,881;290,400;TR-01_1-032-W;NO;1;-0,556;1,148;331,000;TR-01_1-030-E;NO;1
32;SJ;TR-01_1-032;2TTx64;-0,940;4,238;4,341;282,500;TR-01_1-033-W;NO;1;-2,742;2,899;288,900;TR-01_1-031-E;NO;1
33;SJ;TR-01_1-033;2TTx64;-0,937;0,870;1,279;317,100;TR-01_1-034-W;NO;1;-3,654;3,772;284,400;TR-01_1-032-E;NO;1
34;SJ;TR-01_1-034;2TTx64;-0,955;2,334;2,522;292,200;TR-01_1-035-W;NO;1;-15,172;15,202;273,600;TR-01_1-033-E;NO;1
35;SJ;TR-01_1-035;2TTx64;-0,611;3,648;3,699;279,500;TR-01_1-036-W;NO;1;-1,748;1,852;289,300;TR-01_1-034-E;NO;1
36;SJ;TR-01_1-036;2TTx64;-0,410;2,273;2,310;280,200;TR-01_1-037-W;NO;1;-3,249;3,275;277,200;TR-01_1-035-E;NO;1
37;SJ;TR-01_1-037;2TTx64;-0,817;1,255;1,498;303,100;TR-01_1-038-W;NO;1;-2,426;2,560;288,600;TR-01_1-036-E;NO;1
38;SJ;TR-01_1-038;2TTx64;-0,083;7,518;7,518;270,600;TR-01_1-039-W;NO;1;-2,309;2,310;272,100;TR-01_1-037-E;NO;1
39;SJ;TR-01_1-039;2TTx64;-0,020;1,692;1,692;270,700;TR-01_1-040-W;NO;1;-0,590;0,590;271,900;TR-01_1-038-E;NO;1
40;SJ;TR-01_1-040;2TTx64;-0,399;3,409;3,432;276,700;TR-01_1-041-W;NO;1;-1,843;1,886;282,200;TR-01_1-039-E;NO;1
41;SJ;TR-01_1-041;2TTx64;-0,609;3,093;3,152;281,100;;NO;0;-3,501;3,554;279,900;TR-01_1-040-E;NO;1
42;SJ;TR-01_1-042;2TTx64;-0,569;1,373;1,486;292,500;;NO;0;-2,731;2,790;281,800;TR-02_2-119-E;NO;1
43;SJ;TR-01_1-043;2TTx64;-0,314;2,394;2,414;277,500;TR-01_1-044-W;NO;1;-1,803;1,830;279,900;;NO;0
44;SJ;TR-01_1-044;2TTx64;-0,151;1,326;1,335;276,500;TR-01_1-045-W;NO;1;-2,283;2,288;273,800;TR-01_1-043-E;NO;1
45;SJ;TR-01_1-045;2TTx64;-0,254;2,588;2,600;275,600;TR-01_1-046-W;NO;1;-2,527;2,540;275,700;TR-01_1-044-E;NO;1
46;SJ;TR-01_1-046;2TTx64;-0,206;3,249;3,256;273,600;TR-01_1-047-W;NO;1;-2,629;2,637;274,500;TR-01_1-045-E;NO;1
47;SJ;TR-01_1-047;2TTx64;-0,413;1,737;1,785;283,400;TR-01_1-048-W;NO;1;-3,398;3,423;276,900;TR-01_1-046-E;NO;1
48;SJ;TR-01_1-048;2TTx64;-0,661;2,321;2,413;285,900;TR-01_1-049-W;NO;1;-2,322;2,414;285,900;TR-01_1-047-E;NO;1
