cfg,nombre,dia,minZ,elev,theta_sin_sombra,fs1,poa1,theta_min_abs,fs_min,poa_min,dPOA,theta_peor_fs,fs_peor,poa_peor,energia_instante_Wh
4,"Arequipa · pendiente -6 · N-S constante 6° · mono · alineadas ×1 · 8 filas · az -20°",21-mar,1340,8.156,39,0.000000e+0,22.755404,-26.5,1.835263e-3,147.736633,124.981229,-38.75,2.218186e-1,187.615596,72.273343
33,"Arequipa · pendiente 10 · N-S constante 3° · mono · medios ×2 · 8 filas · az 0°",21-mar,680,6.179,-51,0.000000e+0,16.243233,39.25,4.196079e-3,159.769105,143.525872,50.75,1.539959e-1,179.868932,76.835486
26,"Zaragoza · llano · N-S aleatorio 6° · quebrado · bagnarelli ×1 · 8 filas · az 0°",21-jun,800,66.059,-55,0.000000e+0,794.426876,-11.25,1.064042e-4,944.296642,149.869767,-18.25,1.941344e-4,954.052734,312.936855
2,"Arequipa · pendiente -6 · N-S constante 3° · quebrado · alineadas ×1 · 8 filas · az 0°",21-mar,1340,8.156,45.75,0.000000e+0,23.211328,-30,4.076444e-3,181.019079,157.807751,-45.5,2.371342e-1,222.466711,89.355193
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-dic,560,15.099,-45.25,0.000000e+0,40.311297,4.25,3.532452e-3,206.334561,166.023265,45,3.239726e-1,403.551250,110.369151
18,"Arequipa · cresta 1 · N-S aleatorio 3° · mono · tresbolillo ×2 · 6 filas · az 0°",21-mar,1300,17.657,17.5,0.000000e+0,40.526561,0,1.236979e-1,207.293701,166.767140,-17.25,2.371846e-1,355.433719,84.252619
3,"Arequipa · cresta 1 · N-S aleatorio 3° · quebrado · alineadas ×2 · 6 filas · az 0°",21-mar,1300,17.657,17.5,0.000000e+0,40.526561,0,1.236979e-1,209.272439,168.745879,-17.25,2.754359e-1,349.360350,68.430544
22,"Zaragoza · valle 1 · N-S constante 0° · quebrado · medios ×2 · 8 filas · az 15°",21-dic,540,12.710,-47.5,0.000000e+0,35.250837,17.75,5.471447e-3,225.464355,190.213518,47.25,3.800843e-1,272.894561,100.062037
32,"Zaragoza · llano · N-S aleatorio 6° · mono · medios ×1 · 6 filas · az 0°",21-dic,820,21.125,55,0.000000e+0,53.705560,0,6.408935e-2,269.691527,215.985967,-40.75,9.799886e-2,400.265608,103.905011
34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-jun,1040,23.493,24.5,0.000000e+0,42.490706,0,1.174847e-1,274.849649,232.358943,-24.25,2.138973e-1,488.394809,178.005027
28,"Zaragoza · aleatorio 7 · N-S constante 3° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,460,16.813,-43.5,0.000000e+0,42.125237,10.25,4.924475e-3,284.591546,242.466309,43.25,4.775081e-1,456.096202,150.715241
13,"Arequipa · pendiente 10 · N-S rotula 4° · mono · alineadas ×1 · 6 filas · az 0°",21-dic,1300,21.234,55,0.000000e+0,59.513824,-11,3.865891e-3,304.574824,245.061000,-54.75,4.379470e-1,509.758411,151.663345
10,"Zaragoza · valle 1 · N-S senoidal 4° · quebrado · alineadas ×2 · 10 filas · az -20°",21-dic,780,23.615,40.5,0.000000e+0,51.668801,0,1.415315e-1,309.139394,257.470593,-40.25,1.955536e-1,486.189960,111.955555
21,"Zaragoza · pendiente 10 · N-S senoidal 4° · mono · medios ×1 · 6 filas · az 15°",21-jun,1020,27.173,28.75,0.000000e+0,50.978431,0,1.591956e-1,308.659692,257.681261,-28.5,2.800911e-1,474.964512,67.454819
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-dic,580,17.279,-55,0.000000e+0,46.710704,12,2.455142e-3,306.005685,259.294981,54.75,2.323097e-1,507.680867,137.120770
25,"Zaragoza · cresta 1 · N-S quebrado 4° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,960,24.086,34.25,0.000000e+0,48.342502,0,1.462428e-1,317.576498,269.233996,-34,2.166446e-1,580.583757,182.982752
23,"Zaragoza · aleatorio 7 · N-S rotula 6° · quebrado · tresbolillo ×1 · 8 filas · az 0°",21-dic,620,20.929,-55,0.000000e+0,53.338007,10.25,1.211414e-4,324.840470,271.502463,44,2.293321e-2,417.512385,139.855432
11,"Arequipa · llano · N-S constante 0° · mono · medios ×2 · 6 filas · az 0°",21-mar,720,15.660,-55,0.000000e+0,45.973268,27.5,3.291402e-3,336.694994,290.721726,54.75,2.677391e-1,444.572228,165.631053
9,"Zaragoza · pendiente -10 · N-S senoidal 4° · mono · alineadas ×1 · 6 filas · az 15°",21-jun,440,29.019,-32.75,0.000000e+0,53.933623,0,1.862792e-1,352.462771,298.529148,32.5,2.815908e-1,523.444403,80.294784
8,"Arequipa · valle 2 · N-S senoidal 2° · quebrado · alineadas ×1 · 6 filas · az -20°",21-jun,800,25.154,-32.75,0.000000e+0,57.895925,0,9.701308e-2,360.998620,303.102695,32.5,2.336964e-1,643.239544,142.760313
33,"Arequipa · pendiente 10 · N-S constante 3° · mono · medios ×2 · 8 filas · az 0°",21-mar,700,10.908,-55,0.000000e+0,32.904734,54.25,2.950087e-4,341.646903,308.742169,54.75,4.191532e-3,342.754239,171.607786
14,"Zaragoza · aleatorio 42 · N-S constante 0° · mono · medios ×1 · 6 filas · az 0°",21-jun,380,18.045,-55,0.000000e+0,45.095236,18.75,3.881477e-3,368.867313,323.772077,54.75,3.681330e-1,450.130757,158.688404
34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-jun,1000,30.883,33.25,0.000000e+0,55.389984,0,1.149593e-1,406.113467,350.723483,-33,1.928505e-1,683.689995,218.490891
13,"Arequipa · pendiente 10 · N-S rotula 4° · mono · alineadas ×1 · 6 filas · az 0°",21-jun,1220,24.806,55,0.000000e+0,66.801805,-30.75,1.359366e-3,435.530780,368.728975,-54.75,1.184532e-1,496.704067,213.836674
39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-mar,920,30.743,55,0.000000e+0,69.604525,0,1.312715e-2,444.880077,375.275552,-53.75,7.168237e-2,795.385531,199.443017
37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,1020,27.173,55,0.000000e+0,62.857606,-6.25,2.512771e-4,443.635784,380.778178,-54.75,1.072576e-1,636.547255,156.673205
35,"Arequipa · valle 2 · N-S rotula 3° · mono · tresbolillo ×1 · 6 filas · az 0°",21-mar,740,20.411,-55,0.000000e+0,56.407652,14.25,1.012359e-3,444.643215,388.235563,54.75,2.177669e-1,723.466791,210.901328
34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-mar,580,36.634,-39.25,0.000000e+0,63.986946,0,1.569171e-1,476.844464,412.857518,39,2.473042e-1,736.561126,224.818400
29,"Zaragoza · llano · N-S aleatorio 6° · bifila · bagnarelli ×1 · 8 filas · az 0°",21-jun,960,38.348,38.5,0.000000e+0,61.326390,0,1.324988e-1,507.995227,446.668837,-38.25,2.087906e-1,776.239336,209.027612
24,"Zaragoza · llano · N-S aleatorio 3° · bifila · tresbolillo ×2 · 10 filas · az 0°",21-jun,480,36.473,-51,0.000000e+0,69.036164,0,4.396619e-2,522.338618,453.302454,50.75,1.152115e-1,885.391231,220.453982
34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-mar,880,36.794,55,0.000000e+0,75.170209,0,1.464070e-1,538.782220,463.612011,-29.5,1.670782e-1,680.062165,214.014509
3,"Arequipa · cresta 1 · N-S aleatorio 3° · quebrado · alineadas ×2 · 6 filas · az 0°",21-jun,1160,35.607,44.75,0.000000e+0,74.474760,0,1.132173e-1,552.204999,477.730240,-44.5,1.530534e-1,775.177923,202.956354
10,"Zaragoza · valle 1 · N-S senoidal 4° · quebrado · alineadas ×2 · 10 filas · az -20°",21-jun,500,40.208,-44.25,0.000000e+0,66.018155,0,1.018709e-1,564.413891,498.395736,44,1.514308e-1,828.491895,207.361555
9,"Zaragoza · pendiente -10 · N-S senoidal 4° · mono · alineadas ×1 · 6 filas · az 15°",21-mar,600,39.364,-55,0.000000e+0,76.845039,0,4.026811e-2,581.195748,504.350709,47.5,9.713050e-2,822.275803,204.021564
18,"Arequipa · cresta 1 · N-S aleatorio 3° · mono · tresbolillo ×2 · 6 filas · az 0°",21-jun,1140,38.786,55,0.000000e+0,84.569539,0,7.961559e-2,609.650510,525.080970,-39.75,1.131172e-1,792.556080,241.031047
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,440,29.019,-55,0.000000e+0,65.004585,25.25,1.201930e-4,593.599979,528.595394,54.75,9.292877e-2,729.013439,233.409839
5,"Zaragoza · pendiente 10 · N-S aleatorio 3° · quebrado · bagnarelli ×2 · 10 filas · az -20°",21-mar,840,41.965,47,0.000000e+0,71.598178,0,1.317058e-1,605.960796,534.362618,-44.25,1.901672e-1,833.468515,196.837277
21,"Zaragoza · pendiente 10 · N-S senoidal 4° · mono · medios ×1 · 6 filas · az 15°",21-mar,580,36.634,-55,0.000000e+0,74.924946,9.25,1.049189e-4,655.287869,580.362923,51.5,1.675443e-2,884.055936,254.140445
18,"Arequipa · cresta 1 · N-S aleatorio 3° · mono · tresbolillo ×2 · 6 filas · az 0°",21-dic,800,41.545,-55,0.000000e+0,92.803715,0,4.673682e-2,703.291136,610.487421,47,1.007121e-1,1048.261376,298.251727
15,"Zaragoza · cresta 1 · N-S rotula 4° · quebrado · alineadas ×1 · 8 filas · az 15°",21-mar,500,23.882,-55,0.000000e+0,56.388972,40.5,1.555650e-4,674.596925,618.207953,54.75,6.446724e-2,673.664597,237.955787
18,"Arequipa · cresta 1 · N-S aleatorio 3° · mono · tresbolillo ×2 · 6 filas · az 0°",21-mar,840,43.826,-55,0.000000e+0,92.094295,0,2.943280e-2,728.273213,636.178917,45,7.542638e-2,1043.931530,308.568295
3,"Arequipa · cresta 1 · N-S aleatorio 3° · quebrado · alineadas ×2 · 6 filas · az 0°",21-dic,1200,44.020,46.5,0.000000e+0,86.559872,0,1.390431e-1,732.953023,646.393151,-44.25,1.791834e-1,1043.439048,272.086509
32,"Zaragoza · llano · N-S aleatorio 6° · mono · medios ×1 · 6 filas · az 0°",21-jun,560,51.273,-55,0.000000e+0,88.303990,0,2.973761e-2,737.061577,648.757587,38.25,5.587736e-2,942.174805,290.370210
31,"Zaragoza · pendiente 10 · N-S senoidal 4° · mono · medios ×1 · 10 filas · az 0°",21-mar,540,30.558,-55,0.000000e+0,69.416621,33,1.016490e-4,739.001091,669.584471,54.75,3.208632e-3,807.374016,267.866893
24,"Zaragoza · llano · N-S aleatorio 3° · bifila · tresbolillo ×2 · 10 filas · az 0°",21-mar,600,39.364,-55,0.000000e+0,76.821605,27.25,1.069161e-4,775.120159,698.298553,39.25,4.342018e-4,804.419336,254.234162
39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-jun,560,51.273,-55,0.000000e+0,88.216161,6,1.338077e-4,801.224913,713.008752,38,3.960538e-3,957.886775,287.874093
37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,460,32.739,-55,0.000000e+0,68.703455,37,1.141717e-4,821.168334,752.464879,54.75,2.956775e-3,879.824762,269.293153
39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-jun,920,45.791,55,0.000000e+0,85.901556,-20.5,1.250886e-4,858.159417,772.257861,-43.5,3.035798e-3,946.718487,288.956734
9,"Zaragoza · pendiente -10 · N-S senoidal 4° · mono · alineadas ×1 · 6 filas · az 15°",21-jun,940,42.079,55,0.000000e+0,75.294929,-26.75,1.214643e-4,850.835652,775.540723,-45.5,1.726027e-3,915.605469,305.350936
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,900,57.102,-55,0.000000e+0,106.412510,0,2.371720e-2,896.868801,790.456291,33,4.236129e-2,1055.570014,288.742412
