cfg,nombre,dia,minZ,elev,mv,intervalos_fs0,n_cruces,theta_poa_max,fs_en_theta_max,poa_max_Wm2,n_pares_contraejemplo
28,"Zaragoza · aleatorio 7 · N-S constante 3° · quebrado · medios ×1 · 6 filas · az 15°",21-dic,660,23.493,17,"-55…55",0,49,0.000000e+0,536.4882,0
28,"Zaragoza · aleatorio 7 · N-S constante 3° · quebrado · medios ×1 · 6 filas · az 15°",21-dic,940,7.757,17,"-11.25…47",2,-55,4.310355e-1,149.8621,142
29,"Zaragoza · llano · N-S aleatorio 6° · bifila · bagnarelli ×1 · 8 filas · az 0°",21-jun,680,69.578,28,"-55…55",0,12.25,0.000000e+0,950.7939,0
29,"Zaragoza · llano · N-S aleatorio 6° · bifila · bagnarelli ×1 · 8 filas · az 0°",21-jun,960,38.348,28,"38.25…38.5",2,-54.75,2.145089e-1,803.9670,306
29,"Zaragoza · llano · N-S aleatorio 6° · bifila · bagnarelli ×1 · 8 filas · az 0°",21-mar,780,47.306,28,"-55…55",0,-19,0.000000e+0,753.9828,0
31,"Zaragoza · pendiente 10 · N-S senoidal 4° · mono · medios ×1 · 10 filas · az 0°",21-mar,540,30.558,33,"-55…32.75",1,55,3.215305e-3,807.5490,88
31,"Zaragoza · pendiente 10 · N-S senoidal 4° · mono · medios ×1 · 10 filas · az 0°",21-mar,620,41.836,33,"-55…55",0,38,0.000000e+0,799.0402,0
31,"Zaragoza · pendiente 10 · N-S senoidal 4° · mono · medios ×1 · 10 filas · az 0°",21-dic,660,23.493,33,"-55…55",0,34.75,0.000000e+0,389.9961,0
32,"Zaragoza · llano · N-S aleatorio 6° · mono · medios ×1 · 6 filas · az 0°",21-jun,560,51.273,33,"-55…-27",1,40.75,5.576162e-2,942.9658,327
32,"Zaragoza · llano · N-S aleatorio 6° · mono · medios ×1 · 6 filas · az 0°",21-dic,820,21.125,33,"36.25…55",1,-50,9.606785e-2,405.3208,364
33,"Arequipa · pendiente 10 · N-S constante 3° · mono · medios ×2 · 8 filas · az 0°",21-jun,880,39.060,17,"-55…55",0,42.5,0.000000e+0,790.4472,0
33,"Arequipa · pendiente 10 · N-S constante 3° · mono · medios ×2 · 8 filas · az 0°",21-mar,680,6.179,17,"-51…39",2,38.75,0.000000e+0,229.5420,47
33,"Arequipa · pendiente 10 · N-S constante 3° · mono · medios ×2 · 8 filas · az 0°",21-mar,700,10.908,17,"-55…54",1,54,0.000000e+0,514.2009,3
33,"Arequipa · pendiente 10 · N-S constante 3° · mono · medios ×2 · 8 filas · az 0°",21-mar,1120,58.863,17,"-55…55",0,-30.25,0.000000e+0,1070.5886,0
33,"Arequipa · pendiente 10 · N-S constante 3° · mono · medios ×2 · 8 filas · az 0°",21-dic,680,14.319,17,"-55…55",0,55,0.000000e+0,638.2895,0
33,"Arequipa · pendiente 10 · N-S constante 3° · mono · medios ×2 · 8 filas · az 0°",21-dic,800,41.545,17,"-55…55",0,49.5,0.000000e+0,1089.9854,0
34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-jun,700,71.130,28,"-55…55",0,12,0.000000e+0,959.8216,0
34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-jun,1000,30.883,28,"30.75…33.25",2,-55,2.119228e-1,763.3095,255
34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-jun,1040,23.493,28,"23.25…24.5",2,-55,2.859814e-1,643.8054,190
34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-mar,580,36.634,28,"-39.25…-36.25",2,54.25,2.534184e-1,761.0581,301
34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-mar,760,48.259,28,"-55…55",0,4.5,0.000000e+0,734.9982,0
34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-mar,820,44.115,28,"-55…55",0,-19.5,0.000000e+0,707.9912,0
34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-mar,880,36.794,28,"54.75…55",1,-40.5,1.661143e-1,691.9741,438
34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-dic,900,13.023,28,"36…36.25",2,-55,3.246147e-1,236.6758,288
35,"Arequipa · valle 2 · N-S rotula 3° · mono · tresbolillo ×1 · 6 filas · az 0°",21-mar,740,20.411,17,"-55…14",1,55,2.181205e-1,724.3258,163
35,"Arequipa · valle 2 · N-S rotula 3° · mono · tresbolillo ×1 · 6 filas · az 0°",21-mar,1100,62.855,17,"-55…55",0,-24.5,0.000000e+0,1086.7848,0
35,"Arequipa · valle 2 · N-S rotula 3° · mono · tresbolillo ×1 · 6 filas · az 0°",21-dic,920,68.846,17,"-55…55",0,21.5,0.000000e+0,1156.3784,0
36,"Arequipa · ondulado 2 · N-S constante 6° · bifila · alineadas ×1 · 8 filas · az 0°",21-jun,860,35.905,17,"-55…55",0,49.75,0.000000e+0,767.3941,0
36,"Arequipa · ondulado 2 · N-S constante 6° · bifila · alineadas ×1 · 8 filas · az 0°",21-jun,880,39.060,17,"-55…55",0,44.25,0.000000e+0,766.2117,0
36,"Arequipa · ondulado 2 · N-S constante 6° · bifila · alineadas ×1 · 8 filas · az 0°",21-jun,900,41.927,17,"-55…55",0,38.5,0.000000e+0,761.2584,0
36,"Arequipa · ondulado 2 · N-S constante 6° · bifila · alineadas ×1 · 8 filas · az 0°",21-jun,1100,44.237,17,"-55…55",0,-33,0.000000e+0,754.7734,0
36,"Arequipa · ondulado 2 · N-S constante 6° · bifila · alineadas ×1 · 8 filas · az 0°",21-jun,1140,38.786,17,"-55…55",0,-44.75,0.000000e+0,766.5052,0
36,"Arequipa · ondulado 2 · N-S constante 6° · bifila · alineadas ×1 · 8 filas · az 0°",21-dic,920,68.846,17,"-55…55",0,21.25,0.000000e+0,1166.7060,0
37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,340,10.996,33,"-14.25…-10.25",2,39.75,4.024499e-1,283.7100,97
37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,360,14.486,33,"-26.25…-5",2,52.5,3.322113e-1,430.7383,124
37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,460,32.739,33,"-55…36.75",1,55,2.972023e-3,880.1244,72
37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,640,64.648,33,"-55…55",0,22.25,0.000000e+0,960.5864,0
37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,880,53.076,33,"-55…55",0,-38.25,0.000000e+0,964.5360,0
37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,920,45.791,33,"-55…55",0,-46.5,0.000000e+0,951.6357,0
37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,1020,27.173,33,"-6…55",1,-38,7.144912e-2,696.7768,195
37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-mar,740,48.737,33,"-55…55",0,-5,0.000000e+0,744.3545,0
37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-mar,760,48.259,33,"-55…55",0,-12,0.000000e+0,749.9877,0
37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-dic,800,22.517,33,"-55…55",0,-42,0.000000e+0,405.8030,0
38,"Zaragoza · pendiente 3 · N-S constante 0° · mono · alineadas ×1 · 8 filas · az 0°",21-jun,1000,30.883,17,"-55…55",0,-55,0.000000e+0,864.7833,0
38,"Zaragoza · pendiente 3 · N-S constante 0° · mono · alineadas ×1 · 8 filas · az 0°",21-mar,620,41.836,17,"-55…55",0,38,0.000000e+0,799.5869,0
38,"Zaragoza · pendiente 3 · N-S constante 0° · mono · alineadas ×1 · 8 filas · az 0°",21-mar,640,44.005,17,"-55…55",0,31.75,0.000000e+0,780.9493,0
39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-jun,560,51.273,33,"-55…5.75 6.75…13",3,40.5,3.911210e-3,958.7716,170
39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-jun,800,66.059,33,"-55…55",0,-20,0.000000e+0,957.3025,0
39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-jun,920,45.791,33,"-20.25…55",1,-46.5,2.963132e-3,947.9916,138
39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-mar,760,48.259,33,"-55…55",0,-12,0.000000e+0,747.0920,0
39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-mar,840,41.965,33,"-55…55",0,-38,0.000000e+0,797.7987,0
39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-mar,920,30.743,33,"11…55",1,-55,7.164504e-2,796.3669,263
39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-dic,720,25.020,33,"-55…55",0,3.5,0.000000e+0,350.0942,0
