cfg,nombre,dia,minZ,elev,mv,intervalos_fs0,n_cruces,theta_poa_max,fs_en_theta_max,poa_max_Wm2,n_pares_contraejemplo
6,"Arequipa · cresta 3 · N-S constante 0° · mono · bagnarelli ×1 · 10 filas · az 15°",21-dic,1200,44.020,14,"-55…55",0,-44.25,0.000000e+0,1037.1863,0
6,"Arequipa · cresta 3 · N-S constante 0° · mono · bagnarelli ×1 · 10 filas · az 15°",21-dic,1220,39.439,14,"-55…55",0,-48.75,0.000000e+0,1000.0677,0
7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-jun,940,46.569,17,"-55…55",0,23.5,0.000000e+0,810.8620,0
7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-jun,1060,48.094,17,"-55…55",0,-18,0.000000e+0,807.3853,0
7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-mar,1040,71.829,17,"-55…55",0,-7.75,0.000000e+0,1087.0016,0
7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-mar,1100,62.855,17,"-55…55",0,-24.5,0.000000e+0,1086.7848,0
7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-dic,700,18.800,17,"-55…55",0,55,0.000000e+0,765.1034,0
7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-dic,740,27.847,17,"-55…55",0,55,0.000000e+0,942.4943,0
7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-dic,780,36.968,17,"-55…55",0,54.25,0.000000e+0,1048.9822,0
7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-dic,1340,12.271,17,"-5…31.25",2,-25.75,4.994858e-1,225.4622,104
8,"Arequipa · valle 2 · N-S senoidal 2° · quebrado · alineadas ×1 · 6 filas · az -20°",21-jun,800,25.154,33,"-32.75…-20.25",2,55,2.780238e-1,711.1872,211
8,"Arequipa · valle 2 · N-S senoidal 2° · quebrado · alineadas ×1 · 6 filas · az -20°",21-jun,1000,49.919,33,"-55…55",0,21.25,0.000000e+0,851.3662,0
8,"Arequipa · valle 2 · N-S senoidal 2° · quebrado · alineadas ×1 · 6 filas · az -20°",21-mar,1040,71.829,33,"-55…55",0,-0.75,0.000000e+0,1078.0855,0
8,"Arequipa · valle 2 · N-S senoidal 2° · quebrado · alineadas ×1 · 6 filas · az -20°",21-mar,1180,45.748,33,"-55…55",0,-40.5,0.000000e+0,989.0380,0
8,"Arequipa · valle 2 · N-S senoidal 2° · quebrado · alineadas ×1 · 6 filas · az -20°",21-dic,800,41.545,33,"-55…55",0,45,0.000000e+0,989.4916,0
8,"Arequipa · valle 2 · N-S senoidal 2° · quebrado · alineadas ×1 · 6 filas · az -20°",21-dic,840,50.710,33,"-55…55",0,35.75,0.000000e+0,1047.6720,0
8,"Arequipa · valle 2 · N-S senoidal 2° · quebrado · alineadas ×1 · 6 filas · az -20°",21-dic,880,59.846,33,"-55…55",0,26.75,0.000000e+0,1096.8159,0
9,"Zaragoza · pendiente -10 · N-S senoidal 4° · mono · alineadas ×1 · 6 filas · az 15°",21-jun,440,29.019,33,"-32.75…-30.75",2,53.5,3.023853e-1,569.8567,253
9,"Zaragoza · pendiente -10 · N-S senoidal 4° · mono · alineadas ×1 · 6 filas · az 15°",21-jun,940,42.079,33,"-26.5…55",1,-49.25,1.665133e-3,917.4277,113
9,"Zaragoza · pendiente -10 · N-S senoidal 4° · mono · alineadas ×1 · 6 filas · az 15°",21-mar,600,39.364,33,"-55…-26.5",1,51,9.677916e-2,826.3454,325
9,"Zaragoza · pendiente -10 · N-S senoidal 4° · mono · alineadas ×1 · 6 filas · az 15°",21-mar,900,33.860,33,"-55…55",0,-46.5,0.000000e+0,716.7007,0
9,"Zaragoza · pendiente -10 · N-S senoidal 4° · mono · alineadas ×1 · 6 filas · az 15°",21-dic,920,10.471,33,"23.75…26.75",2,-55,1.709686e-1,221.1106,201
10,"Zaragoza · valle 1 · N-S senoidal 4° · quebrado · alineadas ×2 · 10 filas · az -20°",21-jun,500,40.208,33,"-44.25…-41",2,52.5,1.513161e-1,833.9286,340
10,"Zaragoza · valle 1 · N-S senoidal 4° · quebrado · alineadas ×2 · 10 filas · az -20°",21-dic,600,19.230,33,"-55…55",0,28.75,0.000000e+0,274.6124,0
10,"Zaragoza · valle 1 · N-S senoidal 4° · quebrado · alineadas ×2 · 10 filas · az -20°",21-dic,780,23.615,33,"38.75…40.5",2,-55,1.975557e-1,500.4573,316
11,"Arequipa · llano · N-S constante 0° · mono · medios ×2 · 6 filas · az 0°",21-mar,720,15.660,17,"-55…27.25",1,27.25,0.000000e+0,496.2550,110
11,"Arequipa · llano · N-S constante 0° · mono · medios ×2 · 6 filas · az 0°",21-mar,840,43.826,17,"-55…55",0,47.75,0.000000e+0,1067.6210,0
11,"Arequipa · llano · N-S constante 0° · mono · medios ×2 · 6 filas · az 0°",21-mar,980,71.001,17,"-55…55",0,10,0.000000e+0,1087.3262,0
12,"Zaragoza · aleatorio 42 · N-S aleatorio 2° · mono · tresbolillo ×1 · 6 filas · az -20°",21-jun,540,47.627,33,"-55…55",0,41,0.000000e+0,903.9091,0
12,"Zaragoza · aleatorio 42 · N-S aleatorio 2° · mono · tresbolillo ×1 · 6 filas · az -20°",21-mar,760,48.259,33,"-55…55",0,-27.5,0.000000e+0,820.1476,0
