caso,hora,elev,azimut,torsion,politica,fila,theta_JS,theta_PY,dtheta_con_signo,dPOA,se_movio_fila,se_movio_politica
B,07:30,9.2834,66.7257,7.4367,row,2,38.330793,45.931954,-7.601162,-5.111218,1,1
B,07:30,9.2834,66.7257,7.4367,row,4,46.939940,40.100154,6.839786,-5.111218,1,1
B,07:30,9.2834,66.7257,7.4367,row,3,37.736453,44.324716,-6.588262,-5.111218,0,1
B,07:30,9.2834,66.7257,7.4367,row,0,46.570043,40.999650,5.570393,-5.111218,1,1
B,07:30,9.2834,66.7257,7.4367,row,1,40.137526,43.031174,-2.893648,-5.111218,1,1
B,07:30,9.2834,66.7257,7.4367,global,0,41.661956,42.499348,-0.837392,-9.641486,1,1
B,07:30,9.2834,66.7257,7.4367,global,1,41.661956,42.499348,-0.837392,-9.641486,1,1
B,07:30,9.2834,66.7257,7.4367,global,2,41.661956,42.499348,-0.837392,-9.641486,1,1
B,07:30,9.2834,66.7257,7.4367,global,3,41.661956,42.499348,-0.837392,-9.641486,1,1
B,07:30,9.2834,66.7257,7.4367,global,4,41.661956,42.499348,-0.837392,-9.641486,1,1
B,07:30,9.2834,66.7257,7.4367,global,5,41.661956,42.499348,-0.837392,-9.641486,1,1
B,12:00,58.3010,115.1015,7.4367,astro,4,29.682991,28.886740,0.796251,-7.503396,0,1
B,12:00,58.3010,115.1015,7.4367,optimal,4,29.682991,28.886740,0.796251,-7.503396,0,1
B,16:00,59.9777,241.8260,7.4367,astro,4,-27.454066,-26.666949,-0.787117,-7.750926,1,1
B,16:00,59.9777,241.8260,7.4367,optimal,4,-27.454066,-26.666949,-0.787117,-7.750926,1,1
B,12:00,58.3010,115.1015,7.4367,astro,2,28.898859,29.657630,-0.758771,-7.503396,0,1
B,12:00,58.3010,115.1015,7.4367,optimal,2,28.898859,29.657630,-0.758771,-7.503396,0,1
B,12:00,58.3010,115.1015,7.4367,pairwise,5,29.639558,28.886740,0.752818,-7.539028,0,1
B,12:00,58.3010,115.1015,7.4367,true3d,5,29.639558,28.886740,0.752818,-7.539028,0,1
B,12:00,58.3010,115.1015,7.4367,mgl,5,29.639558,28.886740,0.752818,-7.539028,0,1
B,16:00,59.9777,241.8260,7.4367,astro,2,-26.679043,-27.429127,0.750084,-7.750926,1,1
B,16:00,59.9777,241.8260,7.4367,optimal,2,-26.679043,-27.429127,0.750084,-7.750926,1,1
B,16:00,59.9777,241.8260,7.4367,pairwise,5,-27.411353,-26.666949,-0.744404,-7.784671,1,1
B,16:00,59.9777,241.8260,7.4367,true3d,5,-27.411353,-26.666949,-0.744404,-7.784671,1,1
B,16:00,59.9777,241.8260,7.4367,mgl,5,-27.411353,-26.666949,-0.744404,-7.784671,1,1
B,12:00,58.3010,115.1015,7.4367,astro,5,29.596947,28.886740,0.710207,-7.503396,1,1
B,12:00,58.3010,115.1015,7.4367,row,5,29.596947,28.886740,0.710207,-7.510615,1,1
B,12:00,58.3010,115.1015,7.4367,optimal,5,29.596947,28.886740,0.710207,-7.503396,1,1
B,16:00,59.9777,241.8260,7.4367,astro,5,-27.369433,-26.666949,-0.702484,-7.750926,1,1
B,16:00,59.9777,241.8260,7.4367,row,5,-27.369433,-26.666949,-0.702484,-7.757980,1,1
B,16:00,59.9777,241.8260,7.4367,optimal,5,-27.369433,-26.666949,-0.702484,-7.750926,1,1
B,12:00,58.3010,115.1015,7.4367,row,2,28.898859,29.583450,-0.684591,-7.510615,0,1
B,16:00,59.9777,241.8260,7.4367,row,2,-26.679043,-27.356153,0.677110,-7.757980,1,1
B,12:00,58.3010,115.1015,7.4367,row,4,29.682991,29.042583,0.640408,-7.510615,0,1
B,12:00,58.3010,115.1015,7.4367,pairwise,2,28.875926,29.511737,-0.635811,-7.539028,1,1
B,12:00,58.3010,115.1015,7.4367,true3d,2,28.875926,29.511737,-0.635811,-7.539028,1,1
B,12:00,58.3010,115.1015,7.4367,mgl,2,28.875926,29.511737,-0.635811,-7.539028,1,1
B,16:00,59.9777,241.8260,7.4367,row,4,-27.454066,-26.822042,-0.632024,-7.757980,1,1
B,16:00,59.9777,241.8260,7.4367,pairwise,2,-26.656152,-27.285560,0.629408,-7.784671,1,1
B,16:00,59.9777,241.8260,7.4367,true3d,2,-26.656152,-27.285560,0.629408,-7.784671,1,1
B,16:00,59.9777,241.8260,7.4367,mgl,2,-26.656152,-27.285560,0.629408,-7.784671,1,1
B,12:00,58.3010,115.1015,7.4367,row,3,28.853566,29.427118,-0.573553,-7.510615,1,1
B,16:00,59.9777,241.8260,7.4367,row,3,-26.633809,-27.202198,0.568389,-7.757980,1,1
B,12:00,58.3010,115.1015,7.4367,astro,0,29.646368,29.120165,0.526203,-7.503396,1,1
B,12:00,58.3010,115.1015,7.4367,row,0,29.646368,29.120165,0.526203,-7.510615,1,1
B,12:00,58.3010,115.1015,7.4367,optimal,0,29.646368,29.120165,0.526203,-7.503396,1,1
B,16:00,59.9777,241.8260,7.4367,astro,0,-27.418050,-26.898973,-0.519077,-7.750926,1,1
B,16:00,59.9777,241.8260,7.4367,row,0,-27.418050,-26.898973,-0.519077,-7.757980,1,1
B,16:00,59.9777,241.8260,7.4367,optimal,0,-27.418050,-26.898973,-0.519077,-7.750926,1,1
B,12:00,58.3010,115.1015,7.4367,astro,1,29.045750,29.511737,-0.465986,-7.503396,1,1
B,12:00,58.3010,115.1015,7.4367,optimal,1,29.045750,29.511737,-0.465986,-7.503396,1,1
B,16:00,59.9777,241.8260,7.4367,astro,1,-26.825186,-27.285560,0.460374,-7.750926,1,1
B,16:00,59.9777,241.8260,7.4367,optimal,1,-26.825186,-27.285560,0.460374,-7.750926,1,1
B,12:00,58.3010,115.1015,7.4367,astro,3,28.853566,29.221743,-0.368177,-7.503396,1,1
B,12:00,58.3010,115.1015,7.4367,optimal,3,28.853566,29.221743,-0.368177,-7.503396,1,1
B,16:00,59.9777,241.8260,7.4367,astro,3,-26.633809,-26.999493,0.365684,-7.750926,1,1
B,16:00,59.9777,241.8260,7.4367,optimal,3,-26.633809,-26.999493,0.365684,-7.750926,1,1
B,12:00,58.3010,115.1015,7.4367,pairwise,3,28.875926,29.221743,-0.345817,-7.539028,1,1
B,12:00,58.3010,115.1015,7.4367,true3d,3,28.875926,29.221743,-0.345817,-7.539028,1,1
B,12:00,58.3010,115.1015,7.4367,mgl,3,28.875926,29.221743,-0.345817,-7.539028,1,1
B,16:00,59.9777,241.8260,7.4367,pairwise,3,-26.656152,-26.999493,0.343341,-7.784671,1,1
B,16:00,59.9777,241.8260,7.4367,true3d,3,-26.656152,-26.999493,0.343341,-7.784671,1,1
B,16:00,59.9777,241.8260,7.4367,mgl,3,-26.656152,-26.999493,0.343341,-7.784671,1,1
B,12:00,58.3010,115.1015,7.4367,pairwise,4,29.211463,28.886740,0.324723,-7.539028,1,1
B,12:00,58.3010,115.1015,7.4367,true3d,4,29.211463,28.886740,0.324723,-7.539028,1,1
B,12:00,58.3010,115.1015,7.4367,mgl,4,29.211463,28.886740,0.324723,-7.539028,1,1
B,16:00,59.9777,241.8260,7.4367,pairwise,4,-26.989329,-26.666949,-0.322380,-7.784671,1,1
B,16:00,59.9777,241.8260,7.4367,true3d,4,-26.989329,-26.666949,-0.322380,-7.784671,1,1
B,16:00,59.9777,241.8260,7.4367,mgl,4,-26.989329,-26.666949,-0.322380,-7.784671,1,1
B,12:00,58.3010,115.1015,7.4367,row,1,29.045750,29.304504,-0.258754,-7.510615,1,1
B,16:00,59.9777,241.8260,7.4367,row,1,-26.825186,-27.081252,0.256066,-7.757980,1,1
