cfg,nombre,dia,minZ,elev,mv,theta1_fs0,fs1,theta2,fs2,n_pares
34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-jun,1040,23.493,28,24.5,0.000000e+0,-24.25,2.138973e-1,190
29,"Zaragoza · llano · N-S aleatorio 6° · bifila · bagnarelli ×1 · 8 filas · az 0°",21-jun,960,38.348,28,38.5,0.000000e+0,-38.25,2.087906e-1,306
10,"Zaragoza · valle 1 · N-S senoidal 4° · quebrado · alineadas ×2 · 10 filas · az -20°",21-dic,780,23.615,33,40.5,0.000000e+0,-40.25,1.955536e-1,316
34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-jun,1000,30.883,28,33.25,0.000000e+0,-33,1.928505e-1,255
5,"Zaragoza · pendiente 10 · N-S aleatorio 3° · quebrado · bagnarelli ×2 · 10 filas · az -20°",21-mar,840,41.965,28,47,0.000000e+0,-44.25,1.901672e-1,367
3,"Arequipa · cresta 1 · N-S aleatorio 3° · quebrado · alineadas ×2 · 6 filas · az 0°",21-dic,1200,44.020,33,46.5,0.000000e+0,-44.25,1.791834e-1,364
25,"Zaragoza · cresta 1 · N-S quebrado 4° · quebrado · medios ×1 · 6 filas · az 15°",21-dic,520,10.136,33,-9.5,0.000000e+0,9.25,1.702865e-1,74
37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,340,10.996,33,-14.25,0.000000e+0,14,1.695846e-1,97
34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-mar,880,36.794,28,55,0.000000e+0,-29.5,1.670782e-1,438
37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,360,14.486,33,-26.25,0.000000e+0,26,1.562408e-1,124
33,"Arequipa · pendiente 10 · N-S constante 3° · mono · medios ×2 · 8 filas · az 0°",21-mar,680,6.179,17,-51,0.000000e+0,50.75,1.539959e-1,47
3,"Arequipa · cresta 1 · N-S aleatorio 3° · quebrado · alineadas ×2 · 6 filas · az 0°",21-jun,1160,35.607,33,44.75,0.000000e+0,-44.5,1.530534e-1,356
10,"Zaragoza · valle 1 · N-S senoidal 4° · quebrado · alineadas ×2 · 10 filas · az -20°",21-jun,500,40.208,33,-44.25,0.000000e+0,44,1.514308e-1,340
9,"Zaragoza · pendiente -10 · N-S senoidal 4° · mono · alineadas ×1 · 6 filas · az 15°",21-dic,920,10.471,33,26.75,0.000000e+0,-26.5,1.372727e-1,201
17,"Arequipa · pendiente -3 · N-S senoidal 2° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1340,8.156,33,13.75,0.000000e+0,-13.5,1.329521e-1,64
5,"Zaragoza · pendiente 10 · N-S aleatorio 3° · quebrado · bagnarelli ×2 · 10 filas · az -20°",21-jun,320,7.595,28,-8,0.000000e+0,7.75,1.321781e-1,61
13,"Arequipa · pendiente 10 · N-S rotula 4° · mono · alineadas ×1 · 6 filas · az 0°",21-jun,1220,24.806,17,55,0.000000e+0,-54.75,1.184532e-1,97
24,"Zaragoza · llano · N-S aleatorio 3° · bifila · tresbolillo ×2 · 10 filas · az 0°",21-jun,480,36.473,33,-51,0.000000e+0,50.75,1.152115e-1,291
18,"Arequipa · cresta 1 · N-S aleatorio 3° · mono · tresbolillo ×2 · 6 filas · az 0°",21-jun,1140,38.786,33,55,0.000000e+0,-39.75,1.131172e-1,386
37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,1020,27.173,33,55,0.000000e+0,-54.75,1.072576e-1,195
25,"Zaragoza · cresta 1 · N-S quebrado 4° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,1080,2.487,64,4,0.000000e+0,-3.75,1.032954e-1,29
18,"Arequipa · cresta 1 · N-S aleatorio 3° · mono · tresbolillo ×2 · 6 filas · az 0°",21-dic,800,41.545,33,-55,0.000000e+0,47,1.007121e-1,323
32,"Zaragoza · llano · N-S aleatorio 6° · mono · medios ×1 · 6 filas · az 0°",21-dic,820,21.125,33,55,0.000000e+0,-40.75,9.799886e-2,364
9,"Zaragoza · pendiente -10 · N-S senoidal 4° · mono · alineadas ×1 · 6 filas · az 15°",21-mar,600,39.364,33,-55,0.000000e+0,47.5,9.713050e-2,325
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,440,29.019,17,-55,0.000000e+0,54.75,9.292877e-2,119
18,"Arequipa · cresta 1 · N-S aleatorio 3° · mono · tresbolillo ×2 · 6 filas · az 0°",21-mar,840,43.826,33,-55,0.000000e+0,45,7.542638e-2,304
39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-mar,920,30.743,33,55,0.000000e+0,-53.75,7.168237e-2,263
15,"Zaragoza · cresta 1 · N-S rotula 4° · quebrado · alineadas ×1 · 8 filas · az 15°",21-mar,500,23.882,17,-55,0.000000e+0,54.75,6.446724e-2,58
