cfg,nombre,dia,minZ,elev,az,torsion_max,mv,fs_min_criba,theta_fs_min,hay_cero
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,780,29.8721,79.7046,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,800,34.5652,77.6773,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,820,39.2209,75.4045,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,840,43.8256,72.8064,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,860,48.3608,69.7727,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,880,52.7997,66.1475,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,900,57.1020,61.7065,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,920,61.2050,56.1234,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,940,65.0093,48.9323,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,960,68.3560,39.5174,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,980,71.0006,27.2555,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1000,72.6192,12.0480,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1020,72.9172,355.1449,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1040,71.8293,338.9743,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1060,69.5760,325.4193,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1080,66.4904,314.8661,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1100,62.8553,306.8185,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1120,58.8631,300.6237,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1140,54.6351,295.7491,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1160,50.2473,291.8140,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1180,45.7481,288.5555,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1200,41.1691,285.7922,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1220,36.5321,283.3969,0.0000,17,0.000000e+0,-55,1
