bloque,cfg,nombre,dia,minZ,elev,unidad_o_pareja,bisection_deg,barrido_fino_deg,delta_deg,cruces
bt3dPairMaxMag,5,"Zaragoza · pendiente 10 · N-S aleatorio 3° · quebrado · bagnarelli ×2 · 10 filas · az -20°",21-jun,320,7.595,pareja 8,43.440371,43.400000,0.04037133,1
bt3dPairMaxMag,25,"Zaragoza · cresta 1 · N-S quebrado 4° · quebrado · medios ×1 · 6 filas · az 15°",21-dic,520,10.136,pareja 3,25.790145,25.750000,0.04014474,1
bt3dPairMaxMag,25,"Zaragoza · cresta 1 · N-S quebrado 4° · quebrado · medios ×1 · 6 filas · az 15°",21-dic,520,10.136,pareja 4,25.790145,25.750000,0.04014474,1
bt3dPairMaxMag,14,"Zaragoza · aleatorio 42 · N-S constante 0° · mono · medios ×1 · 6 filas · az 0°",21-jun,380,18.045,pareja 1,38.139651,38.100000,0.03965064,1
bt3dPairMaxMag,15,"Zaragoza · cresta 1 · N-S rotula 4° · quebrado · alineadas ×1 · 8 filas · az 15°",21-dic,500,7.402,pareja 3,12.839641,12.800000,0.03964075,1
bt3dPairMaxMag,28,"Zaragoza · aleatorio 7 · N-S constante 3° · quebrado · medios ×1 · 6 filas · az 15°",21-dic,940,7.757,pareja 0,11.439592,11.400000,0.03959201,1
bt3dPairMaxMag,3,"Arequipa · cresta 1 · N-S aleatorio 3° · quebrado · alineadas ×2 · 6 filas · az 0°",21-mar,1300,17.657,pareja 2,31.688725,31.650000,0.03872458,1
bt3dPairMaxMag,18,"Arequipa · cresta 1 · N-S aleatorio 3° · mono · tresbolillo ×2 · 6 filas · az 0°",21-mar,1300,17.657,pareja 2,31.688725,31.650000,0.03872458,1
bt3dPairMaxMag,9,"Zaragoza · pendiente -10 · N-S senoidal 4° · mono · alineadas ×1 · 6 filas · az 15°",21-jun,440,29.019,pareja 1,34.638338,34.600000,0.03833790,1
bt3dPairMaxMag,9,"Zaragoza · pendiente -10 · N-S senoidal 4° · mono · alineadas ×1 · 6 filas · az 15°",21-jun,440,29.019,pareja 4,34.638338,34.600000,0.03833790,1
bt3dPairMaxMag,33,"Arequipa · pendiente 10 · N-S constante 3° · mono · medios ×2 · 8 filas · az 0°",21-mar,680,6.179,pareja 0,38.937864,38.900000,0.03786397,1
