politica,lleva_guardia,cfg,nombre,dia,minZ,elev,grupo,theta_publicado,fs_publicada,poa_publicada,theta_sombra0,poa_sombra0,dPOA
row,0,37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,460,32.739,"[0,1]",55.0000,2.972023e-3,880.124415,0,745.267933,134.856482
mgl,1,37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,460,32.739,"[0,1]",54.9999,1.997729e-3,854.197625,0,717.470495,136.727130
pairwise,1,34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-mar,880,36.794,"[2,3]",2.0000,1.438378e-1,642.043526,54.75,501.502370,140.541156
mgl,1,34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-mar,880,36.794,"[2,3]",2.0000,1.438378e-1,642.043526,54.75,501.502370,140.541156
row,0,37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,1020,27.173,"[2,3]",-40.7365,8.304412e-2,724.940150,14.25,580.976631,143.963519
true3d,1,34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-mar,880,36.794,"[2,3]",0.0000,1.464070e-1,646.087422,54.75,501.502370,144.585051
astro,0,39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-mar,920,30.743,"[2,3]",-53.8791,7.200946e-2,796.245958,36.25,617.816269,178.429689
row,0,39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-mar,920,30.743,"[2,3]",-53.8791,7.200946e-2,796.245958,36.25,617.816269,178.429689
astro,0,25,"Zaragoza · cresta 1 · N-S quebrado 4° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,960,24.086,"[2,3]",-55.0000,2.313608e-1,649.949457,29.25,470.469856,179.479601
row,0,25,"Zaragoza · cresta 1 · N-S quebrado 4° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,960,24.086,"[2,3]",-55.0000,2.313608e-1,649.949457,29.25,470.469856,179.479601
astro,0,34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-mar,880,36.794,"[2,3]",-34.2032,1.668804e-1,690.900992,54.75,501.502370,189.398621
row,0,34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-mar,880,36.794,"[2,3]",-34.2032,1.668804e-1,690.900992,54.75,501.502370,189.398621
