cfg,nombre,dia,minZ,elev,az,torsion_max,mv,fs_min_criba,theta_fs_min,hay_cero
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-jun,1280,12.7680,299.5110,6.0000,33,4.082092e-2,21,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-jun,1300,8.5930,297.6533,6.0000,33,4.796708e-2,10,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-jun,1320,4.3962,295.9837,6.0000,64,4.228583e-2,3,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,680,6.1794,87.8345,6.0000,33,2.180786e-2,-5,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,700,10.9081,86.3640,6.0000,33,1.185770e-2,-11,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,720,15.6602,84.8431,6.0000,33,1.766283e-2,-14.5,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,740,20.4114,83.2469,6.0000,33,1.229638e-2,-20.5,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,760,25.1514,81.5460,6.0000,33,6.749410e-3,-25,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,780,29.8721,79.7046,6.0000,33,8.005111e-3,-30,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,800,34.5652,77.6773,6.0000,33,2.808896e-3,-34.5,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,820,39.2209,75.4045,6.0000,33,1.323236e-2,-39.5,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,840,43.8256,72.8064,6.0000,33,0.000000e+0,-44,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,860,48.3608,69.7727,6.0000,33,1.294420e-3,-48.5,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,880,52.7997,66.1475,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,900,57.1020,61.7065,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,920,61.2050,56.1234,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,940,65.0093,48.9323,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,960,68.3560,39.5174,6.0000,33,0.000000e+0,-55,1
