bloque,politica,col1,col2,col3,col4
F.2,astro,11063.667716,11058.393630,-5.274086,-0.047670
F.2,global,11090.595146,11089.776420,-0.818725,-0.007382
F.2,row,11114.804735,11113.874843,-0.929892,-0.008366
F.2,bt2d,11132.452171,11131.793301,-0.658869,-0.005918
F.2,pairwise,11184.756897,11224.176841,39.419944,0.352443
F.2,true3d,9759.821633,9758.849175,-0.972458,-0.009964
F.2,mgl,9949.552558,9948.844812,-0.707746,-0.007113
F.2,optimal,11172.103222,11168.784024,-3.319199,-0.029710
F.2,optfree,11179.667170,11176.728520,-2.938650,-0.026286
F.3,astro,3388,0,0.011319110804604373,1.7713588829561524,6.140184525029646
F.3,global,3388,1.143689185752654e-16,0.011659179864689765,0.609708008362122,1.2965766860453432
F.3,row,3388,0,0.011845285637701977,0.5613340831363113,1.0481375170729366
F.3,bt2d,3388,0,0.011318066293869758,0.556845892758072,1.0379180369346295
F.3,pairwise,3382,0,0.011446877462312306,0.696740274957028,2.065125516556807
F.3,true3d,3322,0,0.012606998421954913,0.2261003935060599,0.7372592416276177
F.3,mgl,3322,0,0.012224402030454419,0.27684040578990027,0.7372592416276177
F.3,optimal,3388,0,0.011223059615994685,1.1687044602325534,6.140184525029646
F.3,optfree,3388,0,0.01115707640140284,1.1687044602325534,6.140184525029646
