2026-08-07 06:28:14;Requesting safe position 7, wind_from_east: 0, for TCU 52. Reason: Request from group
2026-08-07 06:28:14;Requesting safe position 7, wind_from_east: 0, for TCU 53. Reason: Request from group
2026-08-07 06:28:17;Position 7 enabled for group 10 by "admin (Administrator)" from the web interface
2026-08-07 06:28:36;Group 1 sent to AUTO by "admin (Administrator)" from the web interface
2026-08-07 06:28:38;Group 2 sent to AUTO by "admin (Administrator)" from the web interface
2026-08-07 06:28:40;Group 3 sent to AUTO by "admin (Administrator)" from the web interface
2026-08-07 06:28:40;Sent 6 out of 6 trackers to AUTO mode
2026-08-07 06:28:42;Group 4 sent to AUTO by "admin (Administrator)" from the web interface
2026-08-07 06:28:44;Group 5 sent to AUTO by "admin (Administrator)" from the web interface
2026-08-07 06:28:46;Group 6 sent to AUTO by "admin (Administrator)" from the web interface
2026-08-07 06:28:48;Group 7 sent to AUTO by "admin (Administrator)" from the web interface
2026-08-07 06:28:48;Sent 4 out of 6 trackers to AUTO mode
2026-08-07 06:28:49;Group 8 sent to AUTO by "admin (Administrator)" from the web interface
2026-08-07 06:28:50;Sent 6 out of 6 trackers to AUTO mode
2026-08-07 06:28:52;Group 9 sent to AUTO by "admin (Administrator)" from the web interface
2026-08-07 06:28:54;Group 10 sent to AUTO by "admin (Administrator)" from the web interface
2026-08-07 06:28:56;Sent 8 out of 9 trackers to AUTO mode
2026-08-07 06:28:58;Sent 6 out of 6 trackers to AUTO mode
2026-08-07 06:28:59;Sent 4 out of 4 trackers to AUTO mode
2026-08-07 06:29:01;Sent 7 out of 7 trackers to AUTO mode
2026-08-07 06:29:10;Sent 4 out of 6 trackers to AUTO mode
2026-08-07 06:29:11;Sent 3 out of 3 trackers to AUTO mode
2026-08-07 06:29:11;Sent 0 out of 0 trackers to AUTO mode
2026-08-07 06:36:34;Requesting safe position 7, wind_from_east: 0, for TCU 10. Reason: Request from group
2026-08-07 07:11:01;Requesting safe position 7, wind_from_east: 0, for TCU 22. Reason: Request from group
2026-08-07 07:20:15;Failed to set manual IP for managed gateway 1. Reason: no response from the gateway
2026-08-07 07:20:28;Failed to set manual IP for managed gateway 1. Reason: no response from the gateway
2026-08-07 07:20:57;Current transparent protocol version on gateway with IP "192.168.4.81": v1.0.1
2026-08-07 07:21:07;Current transparent protocol version on gateway with IP "192.168.4.82": v1.0.1
2026-08-07 07:22:35;Position 1 enabled for group 1 by "admin (Administrator)" from the web interface
2026-08-07 07:22:37;Position 1 enabled for group 2 by "admin (Administrator)" from the web interface
2026-08-07 07:22:42;Position 1 enabled for group 3 by "admin (Administrator)" from the web interface
2026-08-07 07:22:43;Requesting safe position 1, wind_from_east: 0, for TCU 1. Reason: Request from group
2026-08-07 07:22:43;Requesting safe position 1, wind_from_east: 0, for TCU 2. Reason: Request from group
2026-08-07 07:22:44;Requesting safe position 1, wind_from_east: 0, for TCU 3. Reason: Request from group
