tipo,nombre,lat,lon
NCU,NCU 1,42.321421,-5.597829
NCU,NCU 2,42.320847,-5.597638
NCU,NCU 3,42.320212,-5.601609
NCU,NCU 4,42.319648,-5.601608
HSU,HSU 1,42.322164,-5.599815
HSU,HSU 2,42.319587,-5.597565
HSU,HSU 3,42.318947,-5.603099
